,home,away,home_points,away_points
0,New York Knicks,Boston Celtics,106,104
1,Los Angeles Clippers,Golden State Warriors,105,86
2,Chicago Bulls,Los Angeles Lakers,88,87
3,Miami Heat,Dallas Mavericks,105,94
4,Oklahoma City Thunder,Orlando Magic,97,89
5,Denver Nuggets,Dallas Mavericks,115,93
6,Charlotte Bobcats,Milwaukee Bucks,96,95
7,New Jersey Nets,Washington Wizards,90,84
8,New Orleans Hornets,Phoenix Suns,85,84
9,Toronto Raptors,Cleveland Cavaliers,104,96
10,Indiana Pacers,Detroit Pistons,91,79
11,Sacramento Kings,Los Angeles Lakers,100,91
12,San Antonio Spurs,Memphis Grizzlies,95,82
13,Oklahoma City Thunder,Minnesota Timberwolves,104,100
14,Golden State Warriors,Chicago Bulls,99,91
15,Orlando Magic,Houston Rockets,104,95
16,Portland Trail Blazers,Philadelphia 76ers,107,103
17,Atlanta Hawks,New Jersey Nets,106,70
18,Miami Heat,Boston Celtics,115,107
19,Portland Trail Blazers,Sacramento Kings,101,79
20,Los Angeles Lakers,Utah Jazz,96,71
21,Milwaukee Bucks,Minnesota Timberwolves,98,95
22,Indiana Pacers,Toronto Raptors,90,85
23,San Antonio Spurs,Los Angeles Clippers,115,90
24,Oklahoma City Thunder,Memphis Grizzlies,98,95
25,Cleveland Cavaliers,Detroit Pistons,105,89
26,Miami Heat,Charlotte Bobcats,96,95
27,Denver Nuggets,Utah Jazz,117,100
28,Atlanta Hawks,Washington Wizards,101,83
29,New Orleans Hornets,Boston Celtics,97,78
30,Golden State Warriors,New York Knicks,92,78
31,Philadelphia 76ers,Phoenix Suns,103,83
32,Oklahoma City Thunder,Dallas Mavericks,104,102
33,Orlando Magic,New Jersey Nets,94,78
34,Portland Trail Blazers,Denver Nuggets,111,102
35,Houston Rockets,San Antonio Spurs,105,85
36,Chicago Bulls,Sacramento Kings,108,98
37,Los Angeles Lakers,New York Knicks,99,82
38,Boston Celtics,Detroit Pistons,96,85
39,Atlanta Hawks,New Jersey Nets,105,98
40,Phoenix Suns,New Orleans Hornets,93,78
41,Milwaukee Bucks,Washington Wizards,102,81
42,Indiana Pacers,Cleveland Cavaliers,98,91
43,Memphis Grizzlies,Houston Rockets,113,93
44,Orlando Magic,Charlotte Bobcats,100,79
45,Chicago Bulls,Los Angeles Clippers,114,101
46,Miami Heat,Minnesota Timberwolves,103,101
47,Utah Jazz,Philadelphia 76ers,102,99
48,Dallas Mavericks,Toronto Raptors,99,86
49,Los Angeles Lakers,Denver Nuggets,92,89
50,Oklahoma City Thunder,Phoenix Suns,107,97
51,San Antonio Spurs,Utah Jazz,104,89
52,Detroit Pistons,Indiana Pacers,96,88
53,Houston Rockets,Atlanta Hawks,95,84
54,New York Knicks,Sacramento Kings,114,92
55,Philadelphia 76ers,Golden State Warriors,107,79
56,Boston Celtics,Washington Wizards,94,86
57,Minnesota Timberwolves,Dallas Mavericks,99,82
58,Denver Nuggets,Los Angeles Lakers,99,90
59,Cleveland Cavaliers,New Jersey Nets,98,82
60,Sacramento Kings,New Orleans Hornets,96,80
61,Los Angeles Clippers,Portland Trail Blazers,93,88
62,Orlando Magic,Toronto Raptors,102,96
63,Miami Heat,Charlotte Bobcats,129,90
64,Chicago Bulls,Memphis Grizzlies,104,64
65,Indiana Pacers,New Jersey Nets,108,94
66,Utah Jazz,New Orleans Hornets,94,90
67,Dallas Mavericks,Oklahoma City Thunder,100,87
68,Detroit Pistons,Orlando Magic,89,78
69,Minnesota Timberwolves,San Antonio Spurs,106,96
70,Boston Celtics,Washington Wizards,100,92
71,Atlanta Hawks,Miami Heat,100,92
72,Phoenix Suns,Golden State Warriors,102,91
73,Toronto Raptors,New York Knicks,90,85
74,Denver Nuggets,Milwaukee Bucks,91,86
75,Chicago Bulls,Atlanta Hawks,76,74
76,Cleveland Cavaliers,Charlotte Bobcats,115,101
77,Los Angeles Lakers,Houston Rockets,108,99
78,Memphis Grizzlies,Sacramento Kings,113,96
79,Portland Trail Blazers,Oklahoma City Thunder,103,93
80,Utah Jazz,Milwaukee Bucks,85,73
81,Charlotte Bobcats,New York Knicks,118,110
82,Toronto Raptors,Cleveland Cavaliers,92,77
83,San Antonio Spurs,Golden State Warriors,101,95
84,Los Angeles Clippers,Houston Rockets,117,89
85,Miami Heat,Indiana Pacers,118,83
86,Memphis Grizzlies,Minnesota Timberwolves,90,86
87,Dallas Mavericks,Phoenix Suns,98,89
88,Denver Nuggets,Sacramento Kings,110,83
89,Chicago Bulls,Detroit Pistons,99,83
90,Boston Celtics,New Jersey Nets,89,70
91,Orlando Magic,Washington Wizards,103,85
92,Philadelphia 76ers,New Orleans Hornets,101,93
93,Portland Trail Blazers,Los Angeles Lakers,107,96
94,San Antonio Spurs,Dallas Mavericks,93,71
95,Miami Heat,Atlanta Hawks,116,109
96,Sacramento Kings,Milwaukee Bucks,103,100
97,Chicago Bulls,Orlando Magic,97,83
98,Denver Nuggets,New Orleans Hornets,96,88
99,Philadelphia 76ers,Detroit Pistons,96,73
100,Oklahoma City Thunder,Houston Rockets,109,94
101,Indiana Pacers,Boston Celtics,87,74
102,Utah Jazz,Memphis Grizzlies,94,85
103,New York Knicks,Washington Wizards,99,96
104,Phoenix Suns,Portland Trail Blazers,102,77
105,Atlanta Hawks,Charlotte Bobcats,102,96
106,Los Angeles Lakers,Golden State Warriors,97,90
107,New Jersey Nets,Toronto Raptors,97,85
108,Cleveland Cavaliers,Minnesota Timberwolves,98,87
109,Indiana Pacers,Charlotte Bobcats,99,77
110,Atlanta Hawks,Chicago Bulls,109,94
111,San Antonio Spurs,Denver Nuggets,121,117
112,Miami Heat,New Jersey Nets,101,90
113,New York Knicks,Detroit Pistons,103,80
114,Oklahoma City Thunder,Houston Rockets,98,95
115,Utah Jazz,Golden State Warriors,88,87
116,Dallas Mavericks,New Orleans Hornets,96,81
117,Philadelphia 76ers,Toronto Raptors,97,62
118,Los Angeles Clippers,Milwaukee Bucks,92,86
119,Los Angeles Lakers,Memphis Grizzlies,90,82
120,Oklahoma City Thunder,San Antonio Spurs,108,96
121,Portland Trail Blazers,Cleveland Cavaliers,98,78
122,Phoenix Suns,Milwaukee Bucks,109,93
123,Minnesota Timberwolves,Washington Wizards,93,72
124,Orlando Magic,Sacramento Kings,104,97
125,Atlanta Hawks,New Jersey Nets,106,101
126,New York Knicks,Charlotte Bobcats,91,87
127,Philadelphia 76ers,Indiana Pacers,96,86
128,New Orleans Hornets,Denver Nuggets,94,81
129,Chicago Bulls,Detroit Pistons,92,68
130,Toronto Raptors,Minnesota Timberwolves,97,87
131,Portland Trail Blazers,Los Angeles Clippers,105,97
132,Oklahoma City Thunder,Memphis Grizzlies,100,95
133,Washington Wizards,Toronto Raptors,93,78
134,Los Angeles Lakers,Phoenix Suns,99,83
135,Chicago Bulls,Minnesota Timberwolves,111,100
136,Utah Jazz,Cleveland Cavaliers,113,105
137,Dallas Mavericks,Detroit Pistons,100,86
138,Houston Rockets,Charlotte Bobcats,82,70
139,Golden State Warriors,Miami Heat,111,106
140,Milwaukee Bucks,San Antonio Spurs,106,103
141,Philadelphia 76ers,Sacramento Kings,112,85
142,Indiana Pacers,Atlanta Hawks,96,84
143,Los Angeles Lakers,Utah Jazz,90,87
144,Oklahoma City Thunder,New Orleans Hornets,95,85
145,Chicago Bulls,Washington Wizards,78,64
146,San Antonio Spurs,Houston Rockets,101,95
147,New York Knicks,Philadelphia 76ers,85,79
148,Dallas Mavericks,Boston Celtics,90,85
149,Los Angeles Clippers,Miami Heat,95,89
150,Denver Nuggets,New Jersey Nets,123,115
151,Orlando Magic,Portland Trail Blazers,107,104
152,Sacramento Kings,Toronto Raptors,98,91
153,Atlanta Hawks,Charlotte Bobcats,111,81
154,Milwaukee Bucks,Detroit Pistons,102,93
155,Cleveland Cavaliers,Phoenix Suns,101,90
156,Memphis Grizzlies,New York Knicks,94,83
157,Orlando Magic,Golden State Warriors,117,109
158,Chicago Bulls,Boston Celtics,88,79
159,Detroit Pistons,Charlotte Bobcats,98,81
160,Indiana Pacers,Toronto Raptors,95,90
161,Minnesota Timberwolves,New Orleans Hornets,87,80
162,San Antonio Spurs,Portland Trail Blazers,99,83
163,Houston Rockets,Sacramento Kings,103,89
164,Philadelphia 76ers,Washington Wizards,120,89
165,Los Angeles Lakers,Cleveland Cavaliers,97,92
166,Denver Nuggets,Miami Heat,117,104
167,Dallas Mavericks,Milwaukee Bucks,102,76
168,New Jersey Nets,Phoenix Suns,110,103
169,Indiana Pacers,Boston Celtics,97,83
170,Philadelphia 76ers,Washington Wizards,103,90
171,Houston Rockets,Portland Trail Blazers,107,105
172,Dallas Mavericks,Sacramento Kings,99,60
173,Chicago Bulls,Toronto Raptors,77,64
174,Los Angeles Clippers,Los Angeles Lakers,102,94
175,Memphis Grizzlies,New Orleans Hornets,108,99
176,Charlotte Bobcats,Golden State Warriors,112,100
177,Atlanta Hawks,Minnesota Timberwolves,93,91
178,Utah Jazz,New Jersey Nets,107,94
179,Oklahoma City Thunder,New York Knicks,104,92
180,San Antonio Spurs,Phoenix Suns,102,91
181,Utah Jazz,Denver Nuggets,106,96
182,Golden State Warriors,Detroit Pistons,99,91
183,Cleveland Cavaliers,Charlotte Bobcats,102,94
184,Los Angeles Lakers,Dallas Mavericks,73,70
185,Philadelphia 76ers,Milwaukee Bucks,94,82
186,Orlando Magic,New York Knicks,102,93
187,Portland Trail Blazers,New Orleans Hornets,84,77
188,Minnesota Timberwolves,Sacramento Kings,99,86
189,Atlanta Hawks,Toronto Raptors,93,84
190,Memphis Grizzlies,Chicago Bulls,102,86
191,Houston Rockets,Washington Wizards,114,106
192,Los Angeles Clippers,New Jersey Nets,101,91
193,Oklahoma City Thunder,Boston Celtics,97,88
194,Utah Jazz,Los Angeles Clippers,108,79
195,Orlando Magic,Charlotte Bobcats,96,89
196,Denver Nuggets,Milwaukee Bucks,105,95
197,Houston Rockets,Detroit Pistons,97,80
198,Golden State Warriors,Cleveland Cavaliers,105,95
199,Chicago Bulls,Phoenix Suns,118,97
200,Miami Heat,San Antonio Spurs,120,98
201,Los Angeles Clippers,Dallas Mavericks,91,89
202,Memphis Grizzlies,New Orleans Hornets,93,87
203,Boston Celtics,Toronto Raptors,96,73
204,Denver Nuggets,Philadelphia 76ers,108,104
205,Minnesota Timberwolves,Detroit Pistons,93,85
206,New Jersey Nets,Golden State Warriors,107,100
207,Sacramento Kings,Indiana Pacers,92,88
208,Washington Wizards,Oklahoma City Thunder,105,102
209,Phoenix Suns,New York Knicks,91,88
210,Atlanta Hawks,Portland Trail Blazers,92,89
211,San Antonio Spurs,Orlando Magic,85,83
212,Dallas Mavericks,Utah Jazz,94,91
213,Houston Rockets,New Orleans Hornets,90,88
214,Miami Heat,Los Angeles Lakers,98,87
215,Philadelphia 76ers,Atlanta Hawks,90,76
216,Milwaukee Bucks,New York Knicks,100,86
217,Minnesota Timberwolves,Los Angeles Clippers,101,98
218,Sacramento Kings,San Antonio Spurs,88,86
219,Chicago Bulls,Cleveland Cavaliers,114,75
220,Denver Nuggets,Washington Wizards,108,104
221,Indiana Pacers,Golden State Warriors,94,91
222,Orlando Magic,Los Angeles Lakers,92,80
223,Memphis Grizzlies,Detroit Pistons,98,81
224,Phoenix Suns,Boston Celtics,79,71
225,Portland Trail Blazers,Toronto Raptors,94,84
226,Chicago Bulls,Charlotte Bobcats,95,89
227,Atlanta Hawks,Cleveland Cavaliers,121,94
228,Miami Heat,Philadelphia 76ers,113,92
229,Memphis Grizzlies,Sacramento Kings,128,95
230,Dallas Mavericks,New Orleans Hornets,83,81
231,Utah Jazz,Minnesota Timberwolves,108,98
232,Houston Rockets,San Antonio Spurs,105,102
233,Denver Nuggets,New York Knicks,119,114
234,Oklahoma City Thunder,New Jersey Nets,84,74
235,Detroit Pistons,Portland Trail Blazers,94,91
236,Boston Celtics,Washington Wizards,100,94
237,New Jersey Nets,Charlotte Bobcats,97,87
238,Milwaukee Bucks,Miami Heat,91,82
239,Indiana Pacers,Los Angeles Lakers,98,96
240,Los Angeles Clippers,Toronto Raptors,103,91
241,Atlanta Hawks,Milwaukee Bucks,97,92
242,Houston Rockets,Minnesota Timberwolves,107,92
243,Memphis Grizzlies,Golden State Warriors,91,90
244,Chicago Bulls,New Jersey Nets,110,95
245,Boston Celtics,Orlando Magic,87,56
246,Dallas Mavericks,Phoenix Suns,93,87
247,Portland Trail Blazers,Sacramento Kings,101,89
248,Philadelphia 76ers,Washington Wizards,103,83
249,San Antonio Spurs,New Orleans Hornets,104,102
250,Oklahoma City Thunder,Detroit Pistons,99,79
251,Miami Heat,Cleveland Cavaliers,92,85
252,Portland Trail Blazers,Memphis Grizzlies,97,84
253,New York Knicks,Charlotte Bobcats,111,78
254,Orlando Magic,Indiana Pacers,102,83
255,Toronto Raptors,Phoenix Suns,99,96
256,Denver Nuggets,Sacramento Kings,122,93
257,Miami Heat,Detroit Pistons,101,98
258,Minnesota Timberwolves,Dallas Mavericks,105,90
259,Oklahoma City Thunder,New Orleans Hornets,101,91
260,Cleveland Cavaliers,New York Knicks,91,81
261,Golden State Warriors,Portland Trail Blazers,101,93
262,Washington Wizards,Charlotte Bobcats,92,75
263,Indiana Pacers,Chicago Bulls,95,90
264,Los Angeles Lakers,Los Angeles Clippers,96,91
265,New Jersey Nets,Philadelphia 76ers,97,90
266,San Antonio Spurs,Atlanta Hawks,105,83
267,Milwaukee Bucks,Houston Rockets,105,99
268,Toronto Raptors,Utah Jazz,111,106
269,Boston Celtics,Orlando Magic,91,83
270,Los Angeles Clippers,Memphis Grizzlies,98,91
271,Atlanta Hawks,Detroit Pistons,107,101
272,Philadelphia 76ers,Charlotte Bobcats,89,72
273,Boston Celtics,Indiana Pacers,94,87
274,New Jersey Nets,Cleveland Cavaliers,99,96
275,Miami Heat,New York Knicks,99,89
276,Oklahoma City Thunder,Golden State Warriors,120,109
277,Portland Trail Blazers,Phoenix Suns,109,71
278,Minnesota Timberwolves,San Antonio Spurs,87,79
279,Dallas Mavericks,Utah Jazz,116,101
280,Chicago Bulls,Milwaukee Bucks,107,100
281,New Orleans Hornets,Orlando Magic,93,67
282,Denver Nuggets,Toronto Raptors,96,81
283,Houston Rockets,Washington Wizards,103,76
284,Philadelphia 76ers,Detroit Pistons,95,74
285,Phoenix Suns,Memphis Grizzlies,86,84
286,Utah Jazz,Sacramento Kings,96,93
287,Washington Wizards,Charlotte Bobcats,102,99
288,Milwaukee Bucks,Los Angeles Lakers,100,89
289,Houston Rockets,New York Knicks,97,84
290,Miami Heat,Chicago Bulls,97,93
291,Cleveland Cavaliers,Boston Celtics,88,87
292,Indiana Pacers,Orlando Magic,106,85
293,Los Angeles Clippers,Denver Nuggets,109,105
294,Los Angeles Lakers,Minnesota Timberwolves,106,101
295,Dallas Mavericks,San Antonio Spurs,101,100
296,Toronto Raptors,New Jersey Nets,94,73
297,Atlanta Hawks,New Orleans Hornets,94,72
298,Chicago Bulls,Washington Wizards,98,88
299,Dallas Mavericks,Phoenix Suns,122,99
300,Minnesota Timberwolves,Houston Rockets,120,108
301,Los Angeles Clippers,Oklahoma City Thunder,112,100
302,Philadelphia 76ers,Orlando Magic,74,69
303,Milwaukee Bucks,Detroit Pistons,103,82
304,Utah Jazz,Portland Trail Blazers,93,89
305,San Antonio Spurs,Memphis Grizzlies,83,73
306,Miami Heat,New Orleans Hornets,109,95
307,Atlanta Hawks,Toronto Raptors,100,77
308,Boston Celtics,Cleveland Cavaliers,93,90
309,Memphis Grizzlies,Denver Nuggets,100,97
310,New York Knicks,Detroit Pistons,113,86
311,Indiana Pacers,New Jersey Nets,106,99
312,Golden State Warriors,Sacramento Kings,93,90
313,Los Angeles Lakers,Charlotte Bobcats,106,73
314,Philadelphia 76ers,Chicago Bulls,98,82
315,New Jersey Nets,Detroit Pistons,99,96
316,Los Angeles Clippers,Utah Jazz,107,105
317,Milwaukee Bucks,Miami Heat,105,97
318,Oklahoma City Thunder,Dallas Mavericks,95,86
319,Phoenix Suns,New Orleans Hornets,120,103
320,San Antonio Spurs,Houston Rockets,99,91
321,Boston Celtics,Toronto Raptors,100,64
322,Orlando Magic,Washington Wizards,109,103
323,Portland Trail Blazers,Charlotte Bobcats,112,68
324,Indiana Pacers,Minnesota Timberwolves,109,99
325,Chicago Bulls,New York Knicks,105,102
326,Denver Nuggets,Los Angeles Clippers,112,91
327,Sacramento Kings,Portland Trail Blazers,95,92
328,Golden State Warriors,Utah Jazz,119,101
329,San Antonio Spurs,New Orleans Hornets,93,81
330,Memphis Grizzlies,Atlanta Hawks,96,77
331,Orlando Magic,Cleveland Cavaliers,102,94
332,Los Angeles Lakers,Denver Nuggets,93,89
333,Oklahoma City Thunder,Memphis Grizzlies,101,94
334,Miami Heat,Philadelphia 76ers,99,79
335,Houston Rockets,Phoenix Suns,99,81
336,Toronto Raptors,Washington Wizards,106,89
337,Detroit Pistons,Milwaukee Bucks,88,80
338,Boston Celtics,New York Knicks,91,89
339,Indiana Pacers,Dallas Mavericks,98,87
340,Minnesota Timberwolves,New Jersey Nets,108,105
341,Minnesota Timberwolves,Houston Rockets,100,91
342,Utah Jazz,Los Angeles Lakers,96,87
343,San Antonio Spurs,Oklahoma City Thunder,107,96
344,Orlando Magic,Indiana Pacers,85,81
345,Philadelphia 76ers,Atlanta Hawks,98,87
346,Chicago Bulls,Milwaukee Bucks,113,90
347,Portland Trail Blazers,Denver Nuggets,117,97
348,Sacramento Kings,Golden State Warriors,114,106
349,New York Knicks,New Jersey Nets,99,92
350,Phoenix Suns,Charlotte Bobcats,95,89
351,Cleveland Cavaliers,Dallas Mavericks,91,88
352,Los Angeles Clippers,Washington Wizards,107,81
353,Detroit Pistons,New Orleans Hornets,89,87
354,Miami Heat,Toronto Raptors,95,89
355,Boston Celtics,Memphis Grizzlies,98,80
356,Chicago Bulls,New Jersey Nets,108,87
357,Houston Rockets,Denver Nuggets,99,90
358,Sacramento Kings,New Orleans Hornets,100,92
359,Washington Wizards,Toronto Raptors,111,108
